id,cityNameAR,cityNameEN,lat,lng
1,الجلفة,,0,0
2,تبسة,,0,0
3,بئر العاتر,,0,0
4,خنشلة,,0,0
5,الوادي,,0,0
6,باتنة,,0,0
7,تقرت,,0,0
8,بسكرة,,0,0
10,بوسعادة,,0,0
11,عين الملح,,0,0
12,حاسي الرمل,,0,0
13,الأغواط,,0,0
14,عين وسارة,,0,0
15,تيسمسيلت,,0,0
16,تيارت,,0,0
17,البيض,,0,0
18,سعيدة,,0,0
19,معسكر,,0,0
20,النعامة,,0,0
21,سيدي بلعباس,,0,0
22,ابن باديس,,0,0
23,تلمسان,,0,0
24,عين تموشنت,,0,0
25,سبدو,,0,0
26,مغنية,,0,0
27,الجزائر,,0,0
28,وهران,,0,0
29,مستغانم,,0,0
30,غليزان,,0,0
31,الشلف,,0,0
32,عين الدفلى,,0,0
33,تيبازة,,0,0
34,المدية,,0,0
35,البليدة,,0,0
36,بومرداس,,0,0
37,البويرة,,0,0
38,دلس,,0,0
39,تيزي وزو,,0,0
40,المسيلة,,0,0
41,برج بوعريريج,,0,0
42,بجاية,,0,0
43,سطيف,,0,0
44,جيجل,,0,0
45,ميلة,,0,0
46,قسنطينة,,0,0
47,سكيكدة,,0,0
48,أم البواقي,,0,0
49,قالمة,,0,0
50,عنابة,,0,0
51,سوق أهراس,,0,0
52,الطارف,,0,0
53,أدرار,,0,0
54,تندوف,,0,0
55,بشار,,0,0
56,تميمون,,0,0
57,رقان,,0,0
58,برج باجي مختار,,0,0
59,بني عباس,,0,0
60,عين صالح,,0,0
61,المنيعة,,0,0
62,غرداية,,0,0
63,ورقلة,,0,0
64,تمنراست,,0,0
65,عين قزام,,0,0
66,إليزي,,0,0
67,جانت,,0,0
68,عين أمناس,,0,0
69,بني ونيف,,0,0
