id,cityNameAR,cityNameEN,lat,lng
1,إجدابيا,ejdabia,30.800833,20.190125
2,البريقة,braiga,30.480042,19.737625
3,البيضاء,baida,32.765182,21.749496
4,الخمس,khomes,32.634171,14.251328
5,المرج,marij,32.481809,20.837631
6,الزاوية,zawia,32.749745,12.724228
7,الكفرة,kofra,24.2,23.29
8,إمساعد,emsaad,31.602516,25.050888
9,أوجلة,ojla,29.108056,21.286944
10,بنغازي,banghazi,32.101035,20.086441
11,بني وليد,walead,31.757656,13.991432
12,جالو,jalo,29.0284,21.5366
13,درنة,drna,32.761294,22.635269
14,رأس لانوف,lanoof,30.574677,18.417892
15,زليتن,zleatin,32.462847,14.565811
16,سبها,sabha,27.134761,14.425049
17,سرت,siret,31.198119,16.601028
18,طبرق,topruq,32.07152,23.963242
19,طرابلس,tripoli,32.881317,13.19252
20,غدامس,ghadames,30.133333,9.5
21,مصراته,musratah,32.372423,15.108261
22,هون,hoon,29.121111,15.940278
23,شحات,Shahat,32.827096,21.873093
24,بن جواد,Benjuwad,30.788447,18.089676
25,الجغبوب,Aljaghbub,29.7425,24.516944
26,اوباري,Ubari,26.583333,12.766667
27,زوارة,zwara,32.9332,12.087021
28,مسلاته,mslata,32.582039,14.038553
29,قصر الأخيار,gaser_lhiar,32.698228,13.845571
30,الزنتان,alzintan,31.928014,12.251507
31,غريان,gharyan,32.164582,13.01686
32,إجخرة,jakharrah,29.293061,21.646792
33,مرزق,murzuq,25.91818,13.921147
34,حقل السرير,sarir_field,27.650161,22.498285
35,تمسة,tamssah,26.395692,15.784268
36,ترهونة,tarhunah,32.4342765,13.6309983
37,حقل البوري,bore_field,34.0546012,12.7898389
38,طبقة,tbqa,30.432383,13.3076
39,حقل الحمادة,hamada_field,30.6831827,12.4742879
40,القريات الشرقية,qariat_shargea,30.388935,13.581183
