prayerId,cityId,cityNameAR,cityNameEN,month,day,date,fajr,sunrise,dhuhr,asr,maghrib,isha
1,1,إجدابيا,ejdabia,1,1,01-01,06:08:00,07:36:00,12:46:00,15:29:00,17:52:00,19:16:00
2,1,إجدابيا,ejdabia,1,2,01-02,06:09:00,07:37:00,12:47:00,15:30:00,17:53:00,19:16:00
3,1,إجدابيا,ejdabia,1,3,01-03,06:09:00,07:37:00,12:47:00,15:31:00,17:53:00,19:17:00
4,1,إجدابيا,ejdabia,1,4,01-04,06:09:00,07:37:00,12:48:00,15:32:00,17:54:00,19:18:00
5,1,إجدابيا,ejdabia,1,5,01-05,06:09:00,07:37:00,12:48:00,15:32:00,17:55:00,19:18:00
6,1,إجدابيا,ejdabia,1,6,01-06,06:10:00,07:37:00,12:48:00,15:33:00,17:56:00,19:19:00
7,1,إجدابيا,ejdabia,1,7,01-07,06:10:00,07:37:00,12:49:00,15:34:00,17:56:00,19:20:00
8,1,إجدابيا,ejdabia,1,8,01-08,06:10:00,07:37:00,12:49:00,15:34:00,17:57:00,19:21:00
9,1,إجدابيا,ejdabia,1,9,01-09,06:10:00,07:37:00,12:50:00,15:35:00,17:58:00,19:21:00
10,1,إجدابيا,ejdabia,1,10,01-10,06:10:00,07:37:00,12:50:00,15:36:00,17:59:00,19:22:00
11,1,إجدابيا,ejdabia,1,11,01-11,06:10:00,07:37:00,12:50:00,15:37:00,18:00:00,19:23:00
12,1,إجدابيا,ejdabia,1,12,01-12,06:10:00,07:37:00,12:51:00,15:37:00,18:01:00,19:23:00
13,1,إجدابيا,ejdabia,1,13,01-13,06:10:00,07:37:00,12:51:00,15:38:00,18:01:00,19:24:00
14,1,إجدابيا,ejdabia,1,14,01-14,06:10:00,07:37:00,12:52:00,15:39:00,18:02:00,19:25:00
15,1,إجدابيا,ejdabia,1,15,01-15,06:10:00,07:37:00,12:52:00,15:40:00,18:03:00,19:26:00
16,1,إجدابيا,ejdabia,1,16,01-16,06:10:00,07:37:00,12:52:00,15:41:00,18:04:00,19:26:00
17,1,إجدابيا,ejdabia,1,17,01-17,06:10:00,07:36:00,12:53:00,15:41:00,18:05:00,19:27:00
18,1,إجدابيا,ejdabia,1,18,01-18,06:10:00,07:36:00,12:53:00,15:42:00,18:06:00,19:28:00
19,1,إجدابيا,ejdabia,1,19,01-19,06:10:00,07:36:00,12:53:00,15:43:00,18:07:00,19:29:00
20,1,إجدابيا,ejdabia,1,20,01-20,06:10:00,07:36:00,12:54:00,15:44:00,18:08:00,19:30:00
21,1,إجدابيا,ejdabia,1,21,01-21,06:10:00,07:35:00,12:54:00,15:45:00,18:08:00,19:30:00
22,1,إجدابيا,ejdabia,1,22,01-22,06:09:00,07:35:00,12:54:00,15:45:00,18:09:00,19:31:00
23,1,إجدابيا,ejdabia,1,23,01-23,06:09:00,07:35:00,12:55:00,15:46:00,18:10:00,19:32:00
24,1,إجدابيا,ejdabia,1,24,01-24,06:09:00,07:34:00,12:55:00,15:47:00,18:11:00,19:33:00
25,1,إجدابيا,ejdabia,1,25,01-25,06:09:00,07:34:00,12:55:00,15:48:00,18:12:00,19:33:00
26,1,إجدابيا,ejdabia,1,26,01-26,06:08:00,07:34:00,12:55:00,15:48:00,18:13:00,19:34:00
27,1,إجدابيا,ejdabia,1,27,01-27,06:08:00,07:33:00,12:55:00,15:49:00,18:14:00,19:35:00
28,1,إجدابيا,ejdabia,1,28,01-28,06:08:00,07:33:00,12:56:00,15:50:00,18:15:00,19:36:00
29,1,إجدابيا,ejdabia,1,29,01-29,06:07:00,07:32:00,12:56:00,15:51:00,18:16:00,19:36:00
30,1,إجدابيا,ejdabia,1,30,01-30,06:07:00,07:32:00,12:56:00,15:51:00,18:17:00,19:37:00
31,1,إجدابيا,ejdabia,1,31,01-31,06:06:00,07:31:00,12:56:00,15:52:00,18:17:00,19:38:00
32,1,إجدابيا,ejdabia,2,1,02-01,06:06:00,07:30:00,12:56:00,15:53:00,18:18:00,19:39:00
33,1,إجدابيا,ejdabia,2,2,02-02,06:06:00,07:30:00,12:57:00,15:54:00,18:19:00,19:40:00
34,1,إجدابيا,ejdabia,2,3,02-03,06:05:00,07:29:00,12:57:00,15:54:00,18:20:00,19:40:00
35,1,إجدابيا,ejdabia,2,4,02-04,06:05:00,07:29:00,12:57:00,15:55:00,18:21:00,19:41:00
36,1,إجدابيا,ejdabia,2,5,02-05,06:04:00,07:28:00,12:57:00,15:56:00,18:22:00,19:42:00
37,1,إجدابيا,ejdabia,2,6,02-06,06:03:00,07:27:00,12:57:00,15:56:00,18:23:00,19:43:00
38,1,إجدابيا,ejdabia,2,7,02-07,06:03:00,07:26:00,12:57:00,15:57:00,18:24:00,19:43:00
39,1,إجدابيا,ejdabia,2,8,02-08,06:02:00,07:26:00,12:57:00,15:58:00,18:25:00,19:44:00
40,1,إجدابيا,ejdabia,2,9,02-09,06:02:00,07:25:00,12:57:00,15:58:00,18:25:00,19:45:00
41,1,إجدابيا,ejdabia,2,10,02-10,06:01:00,07:24:00,12:57:00,15:59:00,18:26:00,19:46:00
42,1,إجدابيا,ejdabia,2,11,02-11,06:00:00,07:23:00,12:57:00,16:00:00,18:27:00,19:46:00
43,1,إجدابيا,ejdabia,2,12,02-12,05:59:00,07:22:00,12:57:00,16:00:00,18:28:00,19:47:00
44,1,إجدابيا,ejdabia,2,13,02-13,05:59:00,07:22:00,12:57:00,16:01:00,18:29:00,19:48:00
45,1,إجدابيا,ejdabia,2,14,02-14,05:58:00,07:21:00,12:57:00,16:02:00,18:30:00,19:48:00
46,1,إجدابيا,ejdabia,2,15,02-15,05:57:00,07:20:00,12:57:00,16:02:00,18:30:00,19:49:00
47,1,إجدابيا,ejdabia,2,16,02-16,05:56:00,07:19:00,12:57:00,16:03:00,18:31:00,19:50:00
48,1,إجدابيا,ejdabia,2,17,02-17,05:55:00,07:18:00,12:57:00,16:03:00,18:32:00,19:51:00
49,1,إجدابيا,ejdabia,2,18,02-18,05:55:00,07:17:00,12:57:00,16:04:00,18:33:00,19:51:00
50,1,إجدابيا,ejdabia,2,19,02-19,05:54:00,07:16:00,12:57:00,16:04:00,18:34:00,19:52:00
51,1,إجدابيا,ejdabia,2,20,02-20,05:53:00,07:15:00,12:57:00,16:05:00,18:34:00,19:53:00
52,1,إجدابيا,ejdabia,2,21,02-21,05:52:00,07:14:00,12:57:00,16:05:00,18:35:00,19:53:00
53,1,إجدابيا,ejdabia,2,22,02-22,05:51:00,07:13:00,12:57:00,16:06:00,18:36:00,19:54:00
54,1,إجدابيا,ejdabia,2,23,02-23,05:50:00,07:12:00,12:56:00,16:06:00,18:37:00,19:55:00
55,1,إجدابيا,ejdabia,2,24,02-24,05:49:00,07:11:00,12:56:00,16:07:00,18:38:00,19:56:00
56,1,إجدابيا,ejdabia,2,25,02-25,05:48:00,07:10:00,12:56:00,16:07:00,18:38:00,19:56:00
57,1,إجدابيا,ejdabia,2,26,02-26,05:47:00,07:09:00,12:56:00,16:08:00,18:39:00,19:57:00
58,1,إجدابيا,ejdabia,2,27,02-27,05:46:00,07:08:00,12:56:00,16:08:00,18:40:00,19:58:00
